"","species_common","species_scientific","family","X"
"97","Longnose parrot","Hipposcarus longiceps","Labridae",""
"98","Pac steephead parrot","Chlorurus microrhinos","Labridae",""
"99","Palenose parrot","Scarus psittacus","Labridae",""
"100","Pygmy parrot?","Scarus spinus","Labridae",""
"101","Yellowfin parrot","Scarus flavipectoralis","Labridae",""
"102","Redtail parrot","Chlorurus japanensis","Labridae",""
"103","Russell's parrot","Scarus russellii","Labridae",""
"104","Tail-barred parrot","Scarus caudofasciatus","Labridae",""
"105","Turquoise-cap parrot","Cetoscarus bicolor","Labridae",""
"106","Swarthy parrot","Scarus niger","Labridae",""
"107","Yellowtail parrot","Scarus rubripinne","Labridae",""
"108","Pearly spinecheek","Scolopsis margaritifer","Nemipteridae",""
"109","Sawjaw spinecheek","Scolopsis ciliata","Nemipteridae",""
"110","Twoline spinecheek","Scolopsis bilneata","Nemipteridae",""
"111","Dashdot goat","Parupeneus barberinus","Mullidae",""
"112","Manybar goat","Parupeneus multifasciatus","Mullidae",""
"113","Yellowstripe goat","Mulloidichthys flavolineatus","Mullidae",""
"114","Giant dottyback","Labracinus cyclophthalmus","Pseudochromidae",""
"115","Royal dottyback","Pictichromis paccagnella","Pseudochromidae",""
"116","Slendid dottyback","Pseudochromis splendens","Pseudochromidae",""
"117","Bigeye emperor","Monotaxis grandoculis","Lethrinidae",""
"118","Longfin emperor","Lethrinus erythropterus","Lethrinidae",""
"119","Smalltooth emperor","Lethrinus microdon","Lethrinidae",""
"120","Trumpet","Aulostomus chinensis","Aulostomidae",""
"121","Flametail snapper","Lutjanus fulvus","Lutjanidae",""
"122","Twospot snapper","Lutjanus biguttatus","Lutjanidae",""
"123","Blackspot snapper","Lutjanus ehrenbergii","Lutjanidae",""
"124","Black&white snapper","Macolor niger","Lutjanidae",""
"125","Brick soldier","Myripristis amaena","Holocentridae",""
"126","Red soldier","Myripristis berndti","Holocentridae",""
"127","Bloodspot squirrel","Neoniphon sammara","Holocentridae",""
"128","Clearfin squirrel","Neoniphon argenteus","Holocentridae",""
"129","Fineline squirrel","Sargocentron microstoma","Holocentridae",""
"130","Golden squirrel","Holocentrus rufus","Holocentridae",""
"131","Longjaw squirrel","Holocentrus sp.","Holocentridae","Q"
"132","Tailspot squirrel","Sargocentron caudimaculatus","Holocentridae",""
"133","Threespot squirrel","Sargocentron cornutum","Holocentridae",""
"134","Yellowfin squirrel","Sargocentron spiniferum","Holocentridae",""
"135","Dusky sweetlips","Plectorhinchus chubbi","Haemulidae",""
"136","Harlequin sweetlips","Plectorhinchus chaetodonoides","Haemulidae",""
"137","Lessons sweetlips","Plectorhinchus lessonii","Haemulidae",""
"138","Oriental sweetlips","Plectorhinchus vittatus","Haemulidae",""
"139","Lunar fusilier","Caesio lunaris","Caesionidae",""
"140","Bluestreak fusilier","Pterocaesio tile","Caesionidae",""
"141","Goldband fusilier","Pterocaesio chrysozona","Caesionidae",""
"142","Ruddy fusilier","Pterocaesio pisang","Caesionidae",""
"143","Threeline fusilier","Pterocaesio trilineata","Caesionidae",""
"144","Yellowback fusilier","Caesio xanthonota","Caesionidae",""
"145","Yellowstripe fusilier","Pterocaesio flavifasciata","Caesionidae",""
"146","Dusky rabbit","Siganus fuscescens","Siganidae",""
"147","Masked rabbit","Siganus puellus","Siganidae",""
"148","Smalltooth jobfish","Aphareus furca","Lutjanidae",""
"149","Ochre-striped cardinal","Ostorhinchus compressus","Apogonidae",""
"150","Fiveline cardinal","Cheilodipterus quinquelineatus","Apogonidae",""
"151","Ambon chrom",NA,NA,NA
"152","Barred grp",NA,NA,NA
"153","Batu coris",NA,NA,NA
"154","Behns",NA,NA,NA
"155","Bicolor cleaner",NA,NA,NA
"156","Bicolr chromis",NA,NA,NA
"157","Birdwr",NA,NA,NA
"158","Blackfin dart",NA,NA,NA
"159","Blackmargin dams",NA,NA,NA
"160","Blackspot cleaner",NA,NA,NA
"161","Blackyellow D",NA,NA,NA
"162","Blue stingray",NA,NA,NA
"163","Bluefin trevally",NA,NA,NA
"164","Blueline snapp",NA,NA,NA
"165","Blueside wrasse",NA,NA,NA
"166","Bluestreak cleaner",NA,NA,NA
"167","Bluestreak fusil",NA,NA,NA
"168","Bluestripe fang",NA,NA,NA
"169","Broadstripe card",NA,NA,NA
"170","Brown parrot",NA,NA,NA
"171","Brown surgeon",NA,NA,NA
"172","Bullethead p",NA,NA,NA
"173","BW snapper",NA,NA,NA
"174","Celebes wras",NA,NA,NA
"175","Chevroned butt",NA,NA,NA
"176","Chiseltooth wr",NA,NA,NA
